==> Building model / ...
==> Training...
Batch: 0, Avg: 2.292454957962036
Epoch: 0:   0%|          | 0/200 [00:00<?, ?it/s]





Batch Idx: (45/900) | Loss: 2.389 | Acc: 10.957% (252/2300): : 46it [00:11,  3.84it/s]






Batch Idx: (93/900) | Loss: 2.379 | Acc: 10.255% (482/4700): : 94it [00:23,  4.00it/s]







Batch Idx: (200/900) | Loss: 2.021 | Acc: 24.090% (2421/10050): : 201it [00:50,  4.02it/s]






Batch Idx: (249/900) | Loss: 2.021 | Acc: 23.944% (2993/12500): : 250it [01:02,  3.99it/s]






Batch Idx: (297/900) | Loss: 2.019 | Acc: 23.826% (3550/14900): : 298it [01:14,  4.05it/s]






Batch Idx: (345/900) | Loss: 2.020 | Acc: 23.809% (4119/17300): : 346it [01:26,  3.90it/s]





Epoch: 5 | Val acc: 24.660:   2%|▎         | 5/200 [21:31<13:59:33, 258.33s/it]  3.80it/s]
